title,description,icon
,Library (6 a.m. to 10 p.m.) With Capacity Approx. 150 Students.,"<i class=""fa fa-home""></i>"
,Online Test Series As Per The Latest Pattern 2 Time in Week.,"<i class=""fa fa-book""></i>"
,Wednesday Weekly Offline Full Length Test.,"<i class=""fa fa-power-off""></i>"
,Every Sunday Full length Test,"<i class=""fa fa-file""></i>"
,Lecture Wise notes in Printed For All Subject.,"<i class=""fa fa-print""></i>"
,PSS (Problem Solving Session) Facilities,"<i class=""fa fa-exclamation-triangle""></i>"
,Doubt Clearing Sessions.,"<i class=""fa fa-question""></i>"
,"Smart Classes, Video Lectures","<i class=""fa fa-youtube""></i>"
,Air Conditioner Class Rooms,"<i class=""fa fa-dashboard""></i>"
,Well Qualified and Experienced Faculties,"<i class=""fa fa-bank""></i>"
