title,url,img,alt_text
"Kejriwal 'heckled' at Vadodara airport, says BJP and Cong united to 'abuse' him",/2022/top-stories/kejriwal--heckled--at-vadodara-airport--says-bjp-and-cong-united-to--abuse--him.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_kejriwal--heckled--at-vadodara-airport--says-bjp-and-cong-united-to--abuse--him-2022-09-20.jpg,"Kejriwal 'heckled' at Vadodara airport, says BJP and Cong united to 'abuse' him"
"'Definition of dignity has changed with time', SC observes during hearing on K'taka hijab row",/2022/top-stories/-definition-of-dignity-has-changed-with-time---sc-observes-during-hearing-on-k-taka-hijab-row.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_-definition-of-dignity-has-changed-with-time---sc-observes-during-hearing-on-k-taka-hijab-row-2022-09-20.jpg,"'Definition of dignity has changed with time', SC observes during hearing on K'taka hijab row"
Scindia says will look into allegations that Punjab CM was deplaned for being 'drunk',/2022/top-stories/scindia-says-will-look-into-allegations-that-punjab-cm-was-deplaned-for-being--drunk-.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_scindia-says-will-look-into-allegations-that-punjab-cm-was-deplaned-for-being--drunk--2022-09-20.jpg,Scindia says will look into allegations that Punjab CM was deplaned for being 'drunk'
Bombay HC orders to demolish unauthorised construction at Narayan Rane's bungalow,/2022/top-stories/bombay-hc-orders-to-demolish-unauthorised-construction-at-narayan-rane-s-bungalow.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_bombay-hc-orders-to-demolish-unauthorised-construction-at-narayan-rane-s-bungalow-2022-09-20.jpg,Bombay HC orders to demolish unauthorised construction at Narayan Rane's bungalow
Will restore old pension scheme if elected to power in Gujarat: Rahul,/2022/top-stories/will-restore-old-pension-scheme-if-elected-to-power-in-gujarat--rahul.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_will-restore-old-pension-scheme-if-elected-to-power-in-gujarat--rahul-2022-09-20.jpg,Will restore old pension scheme if elected to power in Gujarat: Rahul
"BJP launches fresh attack on AAP over excise 'scam', links liquor trader with Kejriwal",/2022/top-stories/bjp-launches-fresh-attack-on-aap-over-excise--scam---links-liquor-trader-with-kejriwal.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_bjp-launches-fresh-attack-on-aap-over-excise--scam---links-liquor-trader-with-kejriwal-2022-09-20.jpg,"BJP launches fresh attack on AAP over excise 'scam', links liquor trader with Kejriwal"
Four dead as boundary wall collapses in Noida,/2022/top-stories/four-dead-as-boundary-wall-collapses-in-noida.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_four-dead-as-boundary-wall-collapses-in-noida-2022-09-20.jpg,Four dead as boundary wall collapses in Noida
Party leadership nod not required to contest prez poll: Cong,/2022/top-stories/party-leadership-nod-not-required-to-contest-prez-poll--cong.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_party-leadership-nod-not-required-to-contest-prez-poll--cong-2022-09-20.jpg,Party leadership nod not required to contest prez poll: Cong
Kashmir's first multiplex screens Lal Singh Chaddha on opening day,/2022/top-stories/kashmir-s-first-multiplex-screens-lal-singh-chaddha-on-opening-day.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_kashmir-s-first-multiplex-screens-lal-singh-chaddha-on-opening-day-2022-09-20.jpg,Kashmir's first multiplex screens Lal Singh Chaddha on opening day
Food in toilet case: UP district sports officer suspended,/2022/top-stories/food-in-toilet-case--up-district-sports-officer-suspended.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_food-in-toilet-case--up-district-sports-officer-suspended-2022-09-20.jpg,Food in toilet case: UP district sports officer suspended
Saliva ban made permanent as ICC announces changes to playing conditions,/2022/top-stories/saliva-ban-made-permanent-as-icc-announces-changes-to-playing-conditions.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_saliva-ban-made-permanent-as-icc-announces-changes-to-playing-conditions-2022-09-20.jpg,Saliva ban made permanent as ICC announces changes to playing conditions
Prepare next 25-year plan with people's participation: Modi at BJP mayors conclave,/2022/top-stories/prepare-next-25-year-plan-with-people-s-participation--modi-at-bjp-mayors-conclave.html,https://www.dailypioneer.com/uploads/2022/story/images/medium/R300_prepare-next-25-year-plan-with-people-s-participation--modi-at-bjp-mayors-conclave-2022-09-20.jpg,Prepare next 25-year plan with people's participation: Modi at BJP mayors conclave
